user_id,domain,session_count,assigned_name,unexpected_names_json,unexpected_emails_json,unexpected_phones_json,unexpected_account_last4_json,unexpected_card_last4_json,credential_value_leak_count,pass
mdgo_v05_fin_user_0000,finance,320,Maya Chen,[],[],[],[],[],0,True
mdgo_v05_fin_user_0001,finance,320,Jordan Brooks,[],[],[],[],[],0,True
mdgo_v05_fin_user_0002,finance,320,Elena Ruiz,[],[],[],[],[],0,True
mdgo_v05_fin_user_0003,finance,320,Noah Patel,[],[],[],[],[],0,True
mdgo_v05_fin_user_0004,finance,320,Avery Thompson,[],[],[],[],[],0,True
mdgo_v05_fin_user_0005,finance,320,Lena Okafor,[],[],[],[],[],0,True
mdgo_v05_fin_user_0006,finance,320,Daniel Kim,[],[],[],[],[],0,True
mdgo_v05_fin_user_0007,finance,320,Sofia Martinez,[],[],[],[],[],0,True
mdgo_v05_fin_user_0008,finance,320,Ethan Walker,[],[],[],[],[],0,True
mdgo_v05_fin_user_0009,finance,320,Priya Shah,[],[],[],[],[],0,True
mdgo_v05_fin_user_0010,finance,320,Marcus Lee,[],[],[],[],[],0,True
mdgo_v05_fin_user_0011,finance,320,Nina Alvarez,[],[],[],[],[],0,True
mdgo_v05_fin_user_0012,finance,320,Owen Foster,[],[],[],[],[],0,True
mdgo_v05_fin_user_0013,finance,320,Camila Santos,[],[],[],[],[],0,True
mdgo_v05_fin_user_0014,finance,320,Theo Nguyen,[],[],[],[],[],0,True
mdgo_v05_fin_user_0015,finance,320,Leila Hassan,[],[],[],[],[],0,True
mdgo_v05_fin_user_0016,finance,320,Julian Reed,[],[],[],[],[],0,True
mdgo_v05_fin_user_0017,finance,320,Amara Johnson,[],[],[],[],[],0,True
mdgo_v05_fin_user_0018,finance,320,Miles Carter,[],[],[],[],[],0,True
mdgo_v05_fin_user_0019,finance,320,Zoe Bennett,[],[],[],[],[],0,True
mdgo_v05_fin_user_0020,finance,320,Iris Park,[],[],[],[],[],0,True
mdgo_v05_fin_user_0021,finance,320,Caleb Morgan,[],[],[],[],[],0,True
mdgo_v05_fin_user_0022,finance,320,Fatima Rahman,[],[],[],[],[],0,True
mdgo_v05_fin_user_0023,finance,320,Leo Castillo,[],[],[],[],[],0,True
mdgo_v05_fin_user_0024,finance,320,Harper Evans,[],[],[],[],[],0,True
mdgo_v05_fin_user_0025,finance,320,Mateo Rivera,[],[],[],[],[],0,True
mdgo_v05_fin_user_0026,finance,320,Grace Liu,[],[],[],[],[],0,True
mdgo_v05_fin_user_0027,finance,320,Samuel Adeyemi,[],[],[],[],[],0,True
mdgo_v05_fin_user_0028,finance,320,Chloe Dubois,[],[],[],[],[],0,True
mdgo_v05_fin_user_0029,finance,320,Elias Turner,[],[],[],[],[],0,True
mdgo_v05_fin_user_0030,finance,320,Aisha Bello,[],[],[],[],[],0,True
mdgo_v05_fin_user_0031,finance,320,Rowan Murphy,[],[],[],[],[],0,True
mdgo_v05_fin_user_0032,finance,320,Isabel Costa,[],[],[],[],[],0,True
mdgo_v05_fin_user_0033,finance,320,Henry Zhao,[],[],[],[],[],0,True
mdgo_v05_fin_user_0034,finance,320,Mei Tan,[],[],[],[],[],0,True
mdgo_v05_fin_user_0035,finance,320,Layla Williams,[],[],[],[],[],0,True
mdgo_v05_sof_user_0000,software,320,Finn O'Connor,[],[],[],[],[],0,True
mdgo_v05_sof_user_0001,software,320,Mei Lin,[],[],[],[],[],0,True
mdgo_v05_sof_user_0002,software,320,Adrian Flores,[],[],[],[],[],0,True
mdgo_v05_sof_user_0003,software,320,Sara Ibrahim,[],[],[],[],[],0,True
mdgo_v05_sof_user_0004,software,320,Ben Cooper,[],[],[],[],[],0,True
mdgo_v05_sof_user_0005,software,320,Yara Khalil,[],[],[],[],[],0,True
mdgo_v05_sof_user_0006,software,320,Lucas Martin,[],[],[],[],[],0,True
mdgo_v05_sof_user_0007,software,320,Eva Novak,[],[],[],[],[],0,True
mdgo_v05_sof_user_0008,software,320,Rina Das,[],[],[],[],[],0,True
