group_field,group,n,accuracy,avg_retrieved_tokens_est,avg_stored_items_est,baseline,elapsed_sec
overall,overall,120,0.4167,0.0,0.0,no_memory_lexical,0.01
probe_type,boundary,30,0.6,0.0,0.0,no_memory_lexical,0.01
probe_type,direct_use,30,0.3,0.0,0.0,no_memory_lexical,0.01
probe_type,exception,30,0.5,0.0,0.0,no_memory_lexical,0.01
probe_type,explicit_retrieval,30,0.2667,0.0,0.0,no_memory_lexical,0.01
capability_group,counterevidence_exception,30,0.5,0.0,0.0,no_memory_lexical,0.01
capability_group,explicit_fact_preference_retrieval,30,0.2667,0.0,0.0,no_memory_lexical,0.01
capability_group,habit_boundary_false_personalization,30,0.6,0.0,0.0,no_memory_lexical,0.01
capability_group,habit_direct_use,30,0.3,0.0,0.0,no_memory_lexical,0.01
habit_family,planning_defaults,120,0.4167,0.0,0.0,no_memory_lexical,0.01
stress_variant,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,120,0.4167,0.0,0.0,no_memory_lexical,0.01
overall,overall,120,0.4917,14188.5,36.0,full_history_segment_retrieval,2.828
probe_type,boundary,30,0.5,14188.5,36.0,full_history_segment_retrieval,2.828
probe_type,direct_use,30,0.5,14188.5,36.0,full_history_segment_retrieval,2.828
probe_type,exception,30,0.4333,14188.5,36.0,full_history_segment_retrieval,2.828
probe_type,explicit_retrieval,30,0.5333,14188.5,36.0,full_history_segment_retrieval,2.828
capability_group,counterevidence_exception,30,0.4333,14188.5,36.0,full_history_segment_retrieval,2.828
capability_group,explicit_fact_preference_retrieval,30,0.5333,14188.5,36.0,full_history_segment_retrieval,2.828
capability_group,habit_boundary_false_personalization,30,0.5,14188.5,36.0,full_history_segment_retrieval,2.828
capability_group,habit_direct_use,30,0.5,14188.5,36.0,full_history_segment_retrieval,2.828
habit_family,planning_defaults,120,0.4917,14188.5,36.0,full_history_segment_retrieval,2.828
stress_variant,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,120,0.4917,14188.5,36.0,full_history_segment_retrieval,2.828
overall,overall,120,0.3333,595.73,1.7,mem0_like_fact_memory,0.868
probe_type,boundary,30,0.4,595.73,1.7,mem0_like_fact_memory,0.868
probe_type,direct_use,30,0.3333,595.73,1.7,mem0_like_fact_memory,0.868
probe_type,exception,30,0.2667,595.73,1.7,mem0_like_fact_memory,0.868
probe_type,explicit_retrieval,30,0.3333,595.73,1.7,mem0_like_fact_memory,0.868
capability_group,counterevidence_exception,30,0.2667,595.73,1.7,mem0_like_fact_memory,0.868
capability_group,explicit_fact_preference_retrieval,30,0.3333,595.73,1.7,mem0_like_fact_memory,0.868
capability_group,habit_boundary_false_personalization,30,0.4,595.73,1.7,mem0_like_fact_memory,0.868
capability_group,habit_direct_use,30,0.3333,595.73,1.7,mem0_like_fact_memory,0.868
habit_family,planning_defaults,120,0.3333,595.73,1.7,mem0_like_fact_memory,0.868
stress_variant,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,120,0.3333,595.73,1.7,mem0_like_fact_memory,0.868
overall,overall,120,0.375,595.73,1.7,zep_like_temporal_graph,0.892
probe_type,boundary,30,0.4333,595.73,1.7,zep_like_temporal_graph,0.892
probe_type,direct_use,30,0.3333,595.73,1.7,zep_like_temporal_graph,0.892
probe_type,exception,30,0.3667,595.73,1.7,zep_like_temporal_graph,0.892
probe_type,explicit_retrieval,30,0.3667,595.73,1.7,zep_like_temporal_graph,0.892
capability_group,counterevidence_exception,30,0.3667,595.73,1.7,zep_like_temporal_graph,0.892
capability_group,explicit_fact_preference_retrieval,30,0.3667,595.73,1.7,zep_like_temporal_graph,0.892
capability_group,habit_boundary_false_personalization,30,0.4333,595.73,1.7,zep_like_temporal_graph,0.892
capability_group,habit_direct_use,30,0.3333,595.73,1.7,zep_like_temporal_graph,0.892
habit_family,planning_defaults,120,0.375,595.73,1.7,zep_like_temporal_graph,0.892
stress_variant,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,120,0.375,595.73,1.7,zep_like_temporal_graph,0.892
overall,overall,120,0.5333,1819.28,36.0,a_mem_like_note_linking,2.099
probe_type,boundary,30,0.6,1889.93,36.0,a_mem_like_note_linking,2.099
probe_type,direct_use,30,0.4667,1784.9,36.0,a_mem_like_note_linking,2.099
probe_type,exception,30,0.4667,1782.63,36.0,a_mem_like_note_linking,2.099
probe_type,explicit_retrieval,30,0.6,1819.63,36.0,a_mem_like_note_linking,2.099
capability_group,counterevidence_exception,30,0.4667,1782.63,36.0,a_mem_like_note_linking,2.099
capability_group,explicit_fact_preference_retrieval,30,0.6,1819.63,36.0,a_mem_like_note_linking,2.099
capability_group,habit_boundary_false_personalization,30,0.6,1889.93,36.0,a_mem_like_note_linking,2.099
capability_group,habit_direct_use,30,0.4667,1784.9,36.0,a_mem_like_note_linking,2.099
habit_family,planning_defaults,120,0.5333,1819.28,36.0,a_mem_like_note_linking,2.099
stress_variant,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,120,0.5333,1819.28,36.0,a_mem_like_note_linking,2.099
overall,overall,120,0.4417,1603.83,683.17,secom_like_segment_memory,2.561
probe_type,boundary,30,0.6,1648.1,683.17,secom_like_segment_memory,2.561
probe_type,direct_use,30,0.3,1567.67,683.17,secom_like_segment_memory,2.561
probe_type,exception,30,0.5,1431.03,683.17,secom_like_segment_memory,2.561
probe_type,explicit_retrieval,30,0.3667,1768.5,683.17,secom_like_segment_memory,2.561
capability_group,counterevidence_exception,30,0.5,1431.03,683.17,secom_like_segment_memory,2.561
capability_group,explicit_fact_preference_retrieval,30,0.3667,1768.5,683.17,secom_like_segment_memory,2.561
capability_group,habit_boundary_false_personalization,30,0.6,1648.1,683.17,secom_like_segment_memory,2.561
capability_group,habit_direct_use,30,0.3,1567.67,683.17,secom_like_segment_memory,2.561
habit_family,planning_defaults,120,0.4417,1603.83,683.17,secom_like_segment_memory,2.561
stress_variant,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,120,0.4417,1603.83,683.17,secom_like_segment_memory,2.561
overall,overall,120,0.3333,595.73,1.0,rmm_like_reflective_summary,0.87
probe_type,boundary,30,0.4,595.73,1.0,rmm_like_reflective_summary,0.87
probe_type,direct_use,30,0.3333,595.73,1.0,rmm_like_reflective_summary,0.87
probe_type,exception,30,0.2333,595.73,1.0,rmm_like_reflective_summary,0.87
probe_type,explicit_retrieval,30,0.3667,595.73,1.0,rmm_like_reflective_summary,0.87
capability_group,counterevidence_exception,30,0.2333,595.73,1.0,rmm_like_reflective_summary,0.87
capability_group,explicit_fact_preference_retrieval,30,0.3667,595.73,1.0,rmm_like_reflective_summary,0.87
capability_group,habit_boundary_false_personalization,30,0.4,595.73,1.0,rmm_like_reflective_summary,0.87
capability_group,habit_direct_use,30,0.3333,595.73,1.0,rmm_like_reflective_summary,0.87
habit_family,planning_defaults,120,0.3333,595.73,1.0,rmm_like_reflective_summary,0.87
stress_variant,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,120,0.3333,595.73,1.0,rmm_like_reflective_summary,0.87
overall,overall,120,0.2583,595.73,1.0,o_mem_like_user_profile,0.86
probe_type,boundary,30,0.3,595.73,1.0,o_mem_like_user_profile,0.86
probe_type,direct_use,30,0.2667,595.73,1.0,o_mem_like_user_profile,0.86
probe_type,exception,30,0.1667,595.73,1.0,o_mem_like_user_profile,0.86
probe_type,explicit_retrieval,30,0.3,595.73,1.0,o_mem_like_user_profile,0.86
capability_group,counterevidence_exception,30,0.1667,595.73,1.0,o_mem_like_user_profile,0.86
capability_group,explicit_fact_preference_retrieval,30,0.3,595.73,1.0,o_mem_like_user_profile,0.86
capability_group,habit_boundary_false_personalization,30,0.3,595.73,1.0,o_mem_like_user_profile,0.86
capability_group,habit_direct_use,30,0.2667,595.73,1.0,o_mem_like_user_profile,0.86
habit_family,planning_defaults,120,0.2583,595.73,1.0,o_mem_like_user_profile,0.86
stress_variant,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,120,0.2583,595.73,1.0,o_mem_like_user_profile,0.86
